Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Fairy Tale,Stephen King,"",9781668002179,hardcover,to-read,2022/08/30,"","",0,"",,,,,,,,,"",,"",No
All the Light We Cannot See,Anthony Doerr,"",9781476746586,hardcover,read,2015/06/25,2016/12/31,2016/12/31,1,"",,,,,,,4.0,,"",,literary-fiction,No
The Ember Blade,Chris Wooding,"",9781473214866,paperback,to-read,2022/03/25,"","",0,"",,,,,,,,,"",,"",Yes
Firefight,Brandon Sanderson,"",9780385743587,hardcover,read,2015/08/12,2016/05/14,2016/05/14,1,"",,,,,,,5.0,,"",,science-fiction,No
The Grace of Kings,Ken Liu,"",B00KU4O1CY,digital,to-read,2017/05/08,"","",0,"",,,,,,,,,"",,fantasy,Yes
War and Peace,Leo Tolstoy,"",9781641815659,paperback,to-read,2016/11/26,"","",0,"",,,,,,,,,"",,"literary-fiction, classics",No
Case Study,Graeme Macrae Burnet,"",9781913393199,hardcover,to-read,2022/11/19,"","",0,"",,,,,,,,,"",,"",No
Life and Fate,Vasily Grossman,Robert Chandler (Translator),9780099506164,paperback,to-read,2022/07/13,"","",0,"",,,,,,,,,"",,"",No
Giovanni's Room,James Baldwin,Caryl Phillips (Contributor),9780141186351,paperback,to-read,2022/06/12,"","",0,"",,,,,,,,,"",,"",No
The Quiet Before: On the Unexpected Origins of Radical Ideas,Gal Beckerman,"",9781524759186,hardcover,to-read,2022/07/30,"","",0,"",,,,,,,,,"",,"",Yes
No One Is Talking About This,Patricia Lockwood,"",9780593189580,hardcover,read,2022/02/05,2022/12/28,2022/12/28,1,"",,"","","","","",3.0,"","","","",No
Know My Name,Chanel Miller,"",9780735223714,digital,to-read,2022/06/12,"","",0,"",,,,,,,,,"",,"",No
Tender Is the Flesh,Agustina Bazterrica,Sarah Moses (Translator),9781982150921,paperback,read,2022/10/29,2023/01/29,2023/01/25-2023/01/29,1,"dark, sad, tense",fast,Plot,No,No,No,"",3.5,"","","","",No
The Black Prism,Brent Weeks,"",9780316246279,paperback,to-read,2017/01/04,"","",0,"",,,,,,,,,"",,fantasy,No
Cremlino: Dalle origini all'ascesa di Putin: il cuore politico della Russia,Catherine Merridale,Luisa Agnese Dalla Fontana (Translator),9781846140372,digital,to-read,2018/06/28,"","",0,"",,,,,,,,,"",,"",No
Bonjour Tristesse,Françoise Sagan,"Irene Ash, Irene Ash (Translator)",9780141032917,paperback,to-read,2022/12/17,"","",0,"",,,,,,,,,"",,"",No
Indelible City: Dispossession and Defiance in Hong Kong,Louisa Lim,"",9780593191811,hardcover,to-read,2022/07/24,"","",0,"",,,,,,,,,"",,"",No
Convenience Store Woman,Sayaka Murata,Ginny Tapley Takemori (Translator),9780802128256,hardcover,read,2022/01/12,2022/03/24,2022/03/24,1,"",,"","","","","",3.25,"","","","",No
Sapiens,Yuval Noah Harari,"",9781846558238,paperback,to-read,2021/12/28,"","",0,"",,,,,,,,,"",,"",No
Horrorstör,Grady Hendrix,"",9781594745263,paperback,to-read,2022/06/18,"","",0,"",,,,,,,,,"",,"",Yes
How Fascism Works: The Politics of Us and Them,Jason Stanley,"",9780525511830,hardcover,to-read,2020/06/05,"","",0,"",,,,,,,,,"",,"",No
Elena Knows,Claudia Piñeiro,Frances Riddle (Translator),9781999368432,paperback,to-read,2022/06/24,"","",0,"",,,,,,,,,"",,"",No
Our Mathematical Universe: My Quest for the Ultimate Nature of Reality,Max Tegmark,"",9781846144769,hardcover,to-read,2022/06/08,"","",0,"",,,,,,,,,"",,"",No
Tokyo Cult Recipes,Maori Murota,"",,,to-read,2018/06/27,"","",0,"",,,,,,,,,"",,cookbooks,No
Nada,Jean-Patrick Manchette,Donald Nicholson-Smith (Translator),9781681373171,paperback,read,2022/06/03,2022/06/11,2022/06/10-2022/06/11,1,"",,"","","","","",4.25,"","","","",Yes
The Shock Doctrine: The Rise of Disaster Capitalism,Naomi Klein,"",9780805079838,hardcover,to-read,2018/06/28,"","",0,"",,,,,,,,,"",,history,No
The Slynx,Tatyana Tolstaya,Jamey Gambrell (Translator),9781590171967,paperback,to-read,2022/07/13,"","",0,"",,,,,,,,,"",,"",No
How to Be an Anticapitalist in the Twenty-First Century,Erik Olin Wright,"",9781788736053,hardcover,to-read,2022/01/21,"","",0,"",,,,,,,,,"",,"",No
A Clash of Kings,George R.R. Martin,"",9780553381696,paperback,read,2015/01/06,2017/08/20,2017/08/20,2,"",,,,,,,4.0,,"",,fantasy,Yes
Sputnik Sweetheart,Haruki Murakami,"",9780375726057,paperback,to-read,2023/02/08,"","",0,"",,,,,,,,,"",,"",Yes
Parade: A Folktale,Hiromi Kawakami,"Allison Markin Powell (Translator), Allison Markin Powell (Translator)",9781593765804,paperback,to-read,2022/01/12,"","",0,"",,,,,,,,,"",,"",Yes
None Of This Is Serious,Catherine Prasifka,"",9781838855529,paperback,to-read,2022/04/14,"","",0,"",,,,,,,,,"",,"",No
The Temple of Dawn,Yukio Mishima,"E. Dale Saunders (Translator), Cecilia Segawa Seigle (Translator)",9780099282792,paperback,to-read,2018/06/26,"","",0,"",,,,,,,,,"",,"",No
Violets,Alex Hyde,"",9781783787272,hardcover,to-read,2022/04/02,"","",0,"",,,,,,,,,"",,"",No
Eve's Hollywood,Eve Babitz,"",9780440023395,,to-read,2023/01/18,"","",0,"",,,,,,,,,"",,"",No
